Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,3942,98,2016
Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017
Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69,2017
KASANDR,Multivariate,Causal-Discovery,Integer,17764280,2158859,2017
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574,518,2017
Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
Epileptic Seizure Recognition,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",11500,179,2017
Devanagari Handwritten Character Dataset,nan,Classification,Integer,92000,nan,2016
Stock portfolio performance,Multivariate,Regression,Real,315,12,2016
MoCap Hand Postures,Multivariate,"Classification, Clustering","Integer, Real",78095,38,2016
Early biomarkers of Parkinsons disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130,65,2017
Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,2017
PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854,86,2017
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77,7,2017
Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53,2017
Las Vegas Strip,nan,"Classification, Regression",Integer,504,20,2017
Eco-hotel,Text,nan,nan,401,1,2017
MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",2856,71,2016
Crowdsourced Mapping,Multivariate,Classification,nan,10546,29,2016
gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801,20531,2016
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540,65,2016
chestnut â LARVIC,nan,"Classification, Clustering",nan,1451,3,2017
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075,22,2017
Motion Capture Hand Postures,Multivariate,"Classification, Clustering",Real,78095,38,2017
Anuran Calls (MFCCs),Multivariate,"Classification, Clustering",Real,7195,22,2017
TTC-3600: Benchmark dataset for Turkish text categorization,Text,"Classification, Clustering",Integer,3600,4814,2017
Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698,2016
Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13,2017
Paper Reviews,Text,"Classification, Regression",Integer,405,10,2017
extention of Z-Alizadeh sani dataset,nan,Classification,"Integer, Real",303,59,2017
Z-Alizadeh Sani,nan,Classification,"Integer, Real",303,56,2017
Dynamic Features of VirusShare Executables,"Multivariate, Time-Series","Classification, Regression",Integer,107888,482,2017
IDA2016Challenge,Multivariate,Classification,Integer,76000,171,2017
DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000,5,2017
Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180,500,2016
Character Font Images,Multivariate,Classification,"Integer, Real",745000,411,2016
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234,8519,2016
Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,21,2017
Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104,21,2017
APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171,2017
Wireless Indoor Localization,Multivariate,Classification,Real,2000,7,2017
HCC Survival,Multivariate,Classification,"Integer, Real",165,49,2017
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,"Classification, Regression",Integer,217,12,2017
University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,nan,1175,3,2017
Autism Screening Adult,nan,Classification,Integer,704,21,2017
Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128,9,2016
Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90,8,2018
Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90,7,2018
OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50,2,2016
Discrete Tone Image Dataset,Multivariate,Classification,nan,71,11,2018
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239,11,2018
Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540,173,2018
ICMLA 2014 Accepted Papers Data Set,Multivariate,"Classification, Clustering",nan,105,5,2018
BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Integer,6611,15,2018
Container Crane Controller Data Set,"Univariate, Domain-Theory","Classification, Regression",Real,15,3,2018
Residential Building Data Set,Multivariate,Regression,Real,372,105,2018
Health News in Twitter,Text,Clustering,Real,58000,25000,2018
chipseq,Sequential,Classification,Integer,4960,nan,2018
SGEMM GPU kernel performance,Multivariate,Regression,Integer,241600,18,2018
Repeat Consumption Matrices,Multivariate,Clustering,Real,130000,21000,2018
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,7062606,115,2018
Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740,21,2018
SCADI,Multivariate,"Classification, Clustering",nan,70,206,2018
Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,2205,43680,2018
Carbon Nanotubes,Univariate,Regression,Real,10721,8,2018
Optical Interconnection Network,Multivariate,"Classification, Regression","Integer, Real",640,10,2018
Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000,59,2018
Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10,2018
GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672,5,2018
Dishonest Internet users Dataset,Multivariate,"Classification, Clustering",nan,322,5,2018
Victorian Era Authorship Attribution,Text,Classification,nan,93600,1000,2018
Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,3060,138,2018
Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,5879,nan,2018
EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,9200,16,2018
Roman Urdu Data Set,Text,Classification,nan,20000,2,2018
Avila,Multivariate,Classification,Real,20867,10,2018
PANDOR,Multivariate,Recommendation,Categorical,nan,nan,2018
Drug Review Dataset (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,4143,8,2018
Drug Review Dataset (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063,6,2018
Physical Unclonable Functions,Multivariate,Classification,Integer,6000000,129,2018
Superconductivty Data,Multivariate,Regression,Real,21263,81,2018
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series","Classification, Regression",Real,63000000,12,2018
GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190,6,2018
Student Academics Performance,Multivariate,Classification,nan,300,22,2018
Online Shoppers Purchasing Intention Dataset,Multivariate,"Classification, Clustering","Integer, Real",12330,18,2018
PMU-UD,Univariate,Classification,nan,5180,9,2018
Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754,2018
Electrical Grid Stability Simulated Data,Multivariate,"Classification, Regression",Real,10000,14,2018
Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5,2018
BAUM-1,Time-Series,Classification,nan,1184,nan,2018
BAUM-2,Time-Series,Classification,nan,1047,nan,2018
Audit Data,Multivariate,Classification,Real,777,18,2018
BuddyMove Data Set,"Multivariate, Text","Classification, Clustering",Real,249,7,2018
Real estate valuation data set,Multivariate,Regression,"Integer, Real",414,7,2018
Early biomarkers of Parkinsonâs disease based on natural connected speech Data Set,Multivariate,Classification,Real,nan,nan,2018
Somerville Happiness Survey,nan,Classification,Integer,143,7,2018
2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840,5,2018
EMG data for gestures,Time-Series,Classification,Real,30000,6,2019
Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series","Classification, Regression, Clustering",Real,35717,4,2019
Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135,18,2018
Travel Reviews,"Multivariate, Text","Classification, Clustering",Real,980,11,2018
Tarvel Review Ratings,"Multivariate, Text","Classification, Clustering",Real,5456,25,2018
